ティッカー,銘柄（英語）,事業内容,市場
HAIN,Hain Celestial Groupヘイン セレスティアル グループ,オーガニック食品・飲料メーカー,NASDAQ
HAL,Halliburtonハリバートン,世界的油田サービス会社,NYSE
HALO,Halozyme Therapeutics Incハロザイムセラピューティクス,糖尿病、がん、皮膚病治療用の薬品をはじめ、薬剤送達市場向けの製品を開発しているバイオ医薬品メーカー。,NASDAQ
HAS,Hasbroハスブロ,玩具メーカー,NASDAQ
HBAN,Huntington Bancsharesハンチントン バンクシェアーズ,銀行持株会社,NASDAQ
HBI,Hanesbrandsヘインズブランズ,男性・女性・子供用衣料を製造する衣料品メーカー,NYSE
HCA,HCA HealthcareHCA ヘルスケア,医療・病院チェーンを運営,NYSE
HCAT,Health Catalyst Incヘルス カタリスト,医療機関にデータと分析技術およびサービスを提供する会社。,NASDAQ
HCC,Warrior Met Coal Incウォリアー メット コール,鉄鋼業用原料炭の生産、輸出を手掛ける石炭採掘会社。,NYSE
HCKT,Hackett Groupハケット グループ,ビジネスコンサルティングとテクノロジー導入サービスを手掛けるEビジネス・コンサルティング会社,NASDAQ
HCSG,Healthcare Services Groupヘルスケア サービシズ グループ,米国各地にある老人ホームや病院を含むヘルスケア産業に管理・行政・運営サービスを提供している企業。,NASDAQ
HD,The Home Depotホーム デポ,住宅用建材、ガーデニング品販売,NYSE
HDS,HD Supply HoldingsHD サプライ ホールディングス,子会社を通じて産業向け製品を販売する持株会社,NASDAQ
HDSN,Hudson Technologiesハドソン テクノロジーズ,冷却剤販売会社。,NASDAQ
HE,Hawaiian Electric Industriesハワイアン エレクトリック インダストリーズ,ハワイ州で電気公益事業および銀行事業を展開する持株会社,NYSE
HEAR,Turtle Beachタートル ビーチ,ビデオゲームコンソール、パソコン、およびモバイル機器用の音声周辺機器を設計・販売する米国と英国で事業を展開する音響技術会社。,NASDAQ
HEES,H&E Equipment Services IncH&Eエクイップメント サービシズ,建設用重機と工業用機器を提供する総合設備機器サービス会社。,NASDAQ
HEI,HEICOハイコ,航空機器メーカー。航空機器の製造、販売を手掛け、世界の航空会社、航空エンジンメーカーのほか、軍隊、NASA等に提供する。,NYSE
HELE,Helen Of Troy Ltdヘレン オブ トロイ,英国(バミューダ籍)の消費者製品メーカー。,NASDAQ
HES,Hessヘス,国際的総合エネルギー会社,NYSE
HFBL,Home Federal Bancorp Inc LAホーム フェデラル バンコープ,預金・信用業務を提供しているHome Federal Savings and Loan Associationの持株会社。,NASDAQ
HFC,HollyFrontierホーリーフロンティアー,石油の精製・販売に従事,NYSE
HGV,Hilton Grand Vacationsヒルトン グランド バケーションズ,バケーションオーナーシップのリゾート開発、販売、運営している会社。,NYSE
HHC,Howard Hughes Corpハワード ヒューズ,都市計画地域、ショッピングモール、および多目的開発地域の開発に従事している不動産開発会社。,NASDAQ
HI,Hillenbrand Incヒレンブランド,加工アプリケーション用機器とシステムの設計、製造、販売、サービスを提供している企業間取引用製品メーカー。,NYSE
HIBB,Hibbett Sportsヒベット スポーツ,米国南東部でスポーツ用品チェーンを展開,NASDAQ
HIG,Hartford Financial Services Groupハートフォード フィナンシャル サービシズ グループ,保険会社,NYSE
HII,Huntington Ingalls Industriesハンチントン インゴールズ インダストリーズ,防衛関係を中心とした造船会社,NYSE
HIIQ,Health Insurance Innovations Aヘルス インシュアランス イノベーション A,ソフトウエアおよび保険ソリューションを提供している企業。,NASDAQ
HJLI,Hancock Jaffe Laboratoriesハンコック ジャフィ ラボラトリーズ,米国の医療機器会社。,NASDAQ
HL,Hecla Miningヘクラ マイニング,鉱山会社,NYSE
HLF,Herbalife Nutrition Ltdハーバライフ ニュートリション,英国領ケイマン諸島に本社を置く健康促進関連会社。,NYSE
HLI,Houlihan Lokeyフーリハン ローキー,M&A、資金調達支援など投資銀行業務を展開,NYSE
HLIT,Harmonicハーモニック,デジタルと光ファイバーシステムのメーカー,NASDAQ
HLT,Hilton Worldwide Holdingsヒルトン ワールドワイド ホールディングス,世界的な規模のホテル運営会社,NASDAQ
HLX,Helix Energy Solutions Group Incヘリックス エナジー ソリューションズ グループ,海洋掘削請負のほかオフショア油・ガス田と生産設備の運営に従事する油田サービス会社。,NYSE
HMN,Horace Mann Educators Corporationホレース マン エデュケーターズ,個人向けの損害保険、退職年金、生命保険の販売、引受けに従事している保険持株会社。,NYSE
HMSY,HMS HoldingsHMSホールディングス,情報管理およびデータ処理について独自の製品およびサービスを提供,NASDAQ
HNGR,Hanger Orthopedic Group Incハンガー オーソペディック グループ,整形外科専門のリハビリにおける人間関節や義足などの矯正リハビリ (orthotic and prosthetic) 関連事業に注力する特殊医療機関。,NYSE
HNI,HNI CorporationHNI,オフィス家具メーカー。,NYSE
HOG,Harley-Davidsonハーレー ダビッドソン,大型オートバイメーカー,NYSE
HOLX,Hologicホロジック,X線システムメーカー,NASDAQ
HOMB,Home BancShares Incホーム バンクシェアーズ,子会社を通じて、一般企業、不動産開発業者、投資家、個人、自治体を対象とした商業およびリテール銀行業務全般を提供している銀行持株会社。,NASDAQ
HON,Honeywell Internationalハネウェル インターナショナル,総合テクノロジー企業,NYSE
HP,Helmerich & Payneヘルマリック アンド ペイン,掘削請負会社,NYSE
HPE,Hewlett Packard Enterpriseヒューレットパッカード エンタープライズ,米国大手のコンピュータ・IT企業。HPのエンタープライズ部門,NYSE
HPQ,HPヒューレット パッカード,大手コンピューターメーカー,NYSE
HQY,HealthEquity Incヘルスエクイティ,米国で医療関連の医療保険プラン向けにクラウドベースの医療貯蓄口座、医療費払戻口座、フレキシブル支出口座、健康維持奨励口座といったプラットフォームITサービスを提供。,NASDAQ
HRB,H&R BlockH&R ブロック,金融サービス会社,NYSE
HRC,Hill-Rom Holdingsヒル ロム ホールディングス,ヘルス関連会社,NYSE
HRI,Herc Holdingハーク ホールディング,レンタル用品事業等を手掛ける会社,NYSE
HRL,Hormel Foodsホーメル フーズ,食品加工業者,NYSE
HRTX,Heron Therapeuticsヘロン セラピューティクス,バイオテクノロジー会社。,NASDAQ
HSIC,Henry Scheinヘンリー シャイン,医療用などのヘルスケア製品を供給,NASDAQ
HSY,The Hersheyハーシー,米国最大手のチョコレート会社。傘下に多くの菓子製造会社を擁する,NYSE
HTGM,HTG Molecular DiagnosticsHTGモレキュラー ダイアグノスティクス,医学及び分子診断学ためmRNA測定、及びマイクロRNA（miRNA）ため製品の提供に従事する米国の会社,NASDAQ
HUBB,Hubbell Incorporatedハベル,商工業、通信、公益事業向けの製造に従事する電気・電子製品メーカー。,NYSE
HUBS,HubSpotハブスポット,情報テクノロジー関連会社,NYSE
HUM,Humanaヒューマナ,米国とプエルトリコの医療会員を対象としたマネージドヘルスケア会社,NYSE
HUN,Huntsmanハンツマン,日用化学製品を製造,NYSE
HXL,Hexcel Corporationヘクセル,補強製品、複合素材、エンジニアード製品の設計、製造、販売をしている会社。,NYSE
IAC,IAC/InterActiveCorp AIAC/インタラクティブコープ A,インターネット事業会社,NASDAQ
IAG,IAMGOLDアイアムゴールド,カナダの中堅金鉱山会社,NYSE
IART,Integra LifeSciences Holdingsインテグラ ライフサイエンシズ HD,医療器具、移植組織、およびバイオ素材の開発・製造・販売に従事する医療機器メーカー。,NASDAQ
IBKC,IBERIABANK Corporationイベリアバンク,ルイジアナ州各地にある支店網を通じて商業銀行業務を手掛ける銀行持株会社。イベリアバンクを保有。,NASDAQ
IBKR,Interactive Brokers Group Inc Aインタラクティブ ブローカーズ グループ A,オンライン証券会社,NASDAQ
IBM,International Business MachinesIBM（インターナショナル ビジネス マシーンズ）,大手コンピューターメーカー,NYSE
IBOC,International Bancsharesインターナショナル バンクシェアーズ,子会社を通じて、法人および個人向けに銀行業務に従事している銀行持株会社。,NASDAQ
IBP,Installed Building Products Incインストールド ビルディング プロダクツ,米国の住宅用断熱材販売会社。,NYSE
ICE,Intercontinental Exchangeインターコンチネンタル エクスチェンジ,先物・オプションを中心とした電子取引所大手。傘下のNYSEを通じて株式取引も手掛ける,NYSE
ICON,Iconix Brand Group Incアイコニックス ブランド グループ,世界各地の小売業者およびメーカーを対象に、ブランド名をライセンス供与しているブランド管理会社。,NASDAQ
ICPT,Intercept Pharmaceuticalsインターセプト ファーマシューティカルズ,慢性肝疾患の医薬品メーカー,NASDAQ
ICUI,ICU MedicalICUメディカル,米国の医療機器メーカー。注入療法、抗がん剤療法および救命救急診療用に医療機器を開発、製造、販売する。,NASDAQ
IDA,Idacorp Incアイダコープ,子会社を通じ、米国アイダホ州南部、オレゴン州東部、ネバダ州北部、ワイオミング州の商業及び工業分野の顧客に電力を提供している。また、住宅開発事業も展開している。,NYSE
IDCC,InterDigitalインターデジタル,最新式デジタル無線通信向け開発メーカー,NASDAQ
IDXX,IDEXX Laboratoriesアイデックス ラボラトリーズ,検出・診断システム会社,NASDAQ
IEX,IDEXアイデックス,ポンプメーカー。ポンプ製品、給水装置、およびその他の工学製品の設計・製造・販売に従事。,NYSE
IFF,International Flavors & Fragrancesインターナショナル フレーバーズ&フレグランス,香水・化粧品や食品などの香味料メーカー,NYSE
IGMS,IGM Biosciences IncIGMバイオサイエンス,Igm抗体に関する開発を行う、米国のバイオテクノロジー会社。,NASDAQ
IGT,International Game Technologyインターナショナル ゲーム テクノロジー,コンピュータ化したカジノ・ゲーム・システムの設計、製造に従事,NYSE
IIIV,I3 Verticals AI3 バーティカルズ A,米国のビジネスサービス会社。中小企業や各種団体向けに電子決済処理ソリューションのサービスを提供する。,NASDAQ
IIVI,II-VIツー シックス,高精度応用ハイテク材料などの精密部品の製造販売をしている会社,NASDAQ
ILMN,Illuminaイルミナ,遺伝的機能・変異の大規模解析ツール開発会社,NASDAQ
IMGN,ImmunoGenイミュノジェン,がん治療薬を中心とする医薬品開発会社,NASDAQ
IMMU,Immunomedics Incイミュノメディクス,画像診断・治療機器メーカー。,NASDAQ
INAP,Internap Corporationインターナップ,広範囲にわたる大規模な情報技術インフラサービスを提供する企業向けインターネットプロバイダー。,NASDAQ
INCY,Incyteインサイト,新治療法の発見や開発を行う,NASDAQ
INFN,Infinera Corporationインフィネラ,デジタル光学通信機器の製造に従事する通信機器メーカー。,NASDAQ
INFO,IHS Markit LtdIHSマークイット Ltd,イギリス(バミューダ籍)の金融情報サービス企業。債券、ローン、株式、デリバティブなど多様なアセットクラスの時価評価・金融情報を提供している。,NYSE
INGN,Inogenイノジェン,閉塞性肺疾患患者向けの酸素濃縮器などを提供しているヘルスケア会社。,NASDAQ
INGR,Ingredionイングレディオン,とうもろこしの精製を行う食品原料メーカー,NYSE
INO,Inovio Pharmaceuticals Incイノビオ ファーマシューティカルズ,米国のヘルスケア分野で事業を展開する医薬品の研究開発会社。,NASDAQ
INOD,Innodata Incイノデータ,デジタル情報の作成、管理、配信に関するサービス、製品、ソリューションを手掛けるデジタル・コンテンツ会社。,NASDAQ
INS,Intelligent Systems Corpインテリジェント システムズ,法人・政府機関向けに業務管理用アプリケーション・ソフトウエアの設計、開発、マーケティングを手掛けている会社。,NYSE American
INSM,Insmed Incインスメッド,バイオ医薬品会社。,NASDAQ
INT,World Fuel Services Corporationワールド フューエル サービス,航空機・船舶用燃料サービス会社。,NYSE
INTC,Intelインテル,半導体（マイクロプロセッサー）最大手,NASDAQ
INTL,INTL FCStone IncINTL FCストーン,コモディティ、通貨、国際証券の取引やアドバイザリーなどを世界各地で提供する金融サービス持株会社。,NASDAQ
INTU,Intuitインチュイト,金融管理ソフトウエアとソリューションサービスを提供,NASDAQ
IONS,Ionis Pharmaceuticals Incアイオニス ファーマシューティカルズ,米国で事業を展開しているバイオテクノロジー会社。,NASDAQ
IP,International Paperインターナショナル ペーパー,製紙会社,NYSE
IPG,Interpublic Groupインターパブリック グループ,広告代理店組織を運営し、多数の独立系代理店を所有,NYSE
IPGP,IPG PhotonicsIPGフォトニクス,資材処理、通信、医療等幅広いアプリケーションに使用する光ファイバー・レーザーの開発・商業化を手掛ける電子部品メーカーです。,NASDAQ
IPHI,Inphi Corporationインファイ,通信・コンピューター向けアナログ半導体ソリューションを提供している会社。,NYSE
IQV,IQVIA Holdingsアイキューヴァイア ホールディングス,世界的な医薬品開発受託会社,NYSE
IR,Ingersoll-Randインガソール ランド,エアコンのシステムなどを手がけるアイルランドの国際的総合産業機器メーカー,NYSE
IRBT,iRobotアイロボット,家庭用の清掃ロボットや軍事用ロボットの製造に従事,NASDAQ
IRDM,Iridium Communicationsイリジウム コミュニケーションズ,衛星による移動体通信サービスを手掛ける衛星通信会社。政府、企業、一般消費者に対し、音声・データ通信サービスを提供する。,NASDAQ
IRMD,iRadimedイラディメド,非磁性の輸液ポンプなどを提供する医療機器プロバイダー,NASDAQ
IRTC,iRhythm Technologies Incアイリズム テクノロジーズ,動悸、息切れ、および疲労症状のための心拍監視装置を提供している医療用機器メーカー。,NASDAQ
ISEE,IVERIC bioアイヴリック バイオ,視力低下治療薬メーカー,NASDAQ
ISRG,Intuitive Surgicalインテューイティブ サージカル,手術システム・ メーカー,NASDAQ
IT,Gartnerガートナー,IT関連の調査会社,NYSE
ITRI,Itronアイトロン,公共事業向けに電気、ガス、水道の使用状況データの収集、伝達、分析用ソリューションを提供、スマートメーターの設計開発,NASDAQ
ITT,ITTITT,エネルギーインフラなどの成長産業向け技術製品メーカー,NYSE
ITW,Illinois Tool Worksイリノイ ツール ワークス,ファスナーや接着剤などの工業製品を製造販売,NYSE
IVZ,Invescoインベスコ,独立系投資管理グループ,NYSE
J,Jacobs Engineering Groupジェイコブズ エンジニアリング グループ,プラント建設会社,NYSE
JACK,Jack in The Boxジャック イン ザ ボックス,米国とカナダで事業を展開している直営とフランチャイズのレストラン運営会社。,NASDAQ
JAZZ,Jazz Pharmaceuticalsジャズ ファーマシューティカルズ,アイルランドの特殊バイオ医薬品会社,NASDAQ
JBHT,JB Hunt Transport ServicesJB ハント トランスポート サービシズ,物流サービス会社,NASDAQ
JBL,Jabilジェイビル,各種メーカー向けに回路設計や概略図作成,NYSE
JBLU,JetBlue Airwaysジェットブルー エアウェイズ,航空会社,NASDAQ
JBSS,John B Sanfilippo & SonジョンBサンフィリッポ アンド サン,ピーナッツやその他のナッツのプロセッサーと販売業者である,NASDAQ
JBT,John Bean Technologies Corporationジョンビーン テクノロジー,食品加工と航空輸送業向けに情報技術ソリューションを提供。,NYSE
JCI,Johnson Controls Internationalジョンソン コントロールズ インターナショナル,警備・火災検知機器等を取扱う総合セキュリティメーカー,NYSE
JCOM,j2 Global Incj2グローバル,通信サービス会社。,NASDAQ
JCP,JC PenneyJC ペニー,百貨店経営会社,NYSE
JEF,Jefferies Financial Groupジェフェリーズ フィナンシャル グループ,総合持株会社,NYSE
JILL,J Jillジェイ ジル,女性衣料品ブランド。,NYSE
JJSF,J&J Snack FoodsJ&Jスナック フーズ,スナック食品および 飲料を製造、販売する食品メーカー,NASDAQ
JKHY,Jack Henry & Associatesジャック ヘンリー アンド アソシエーツ,地方銀行向けに中核情報処理ソリューションを提供する企業,NASDAQ
JNJ,Johnson & Johnsonジョンソン エンド ジョンソン,医療・健康関連製品メーカー,NYSE
JNPR,Juniper Networksジュニパー ネットワークス,光ネットワーク機器大手,NYSE
JPM,JPMorgan ChaseJPモルガン チェース,総合金融業,NYSE
JRVR,James River Group Holdings Ltdジェームス リバー グループ ホールディングス,子会社を通し、米国市場向けの特殊保険および再保険事業に従事しているバミューダ籍の保険持株会社。,NASDAQ
JWN,Nordstromノードストロム,百貨店,NYSE
K,Kelloggケロッグ,インスタント食品メーカー,NYSE
KALV,Kalvista Pharmaceuticalsカルビスタ ファーマシューティカルズ,臨床段階の専門領域向医薬品に携わっている。,NASDAQ
KAR,KAR Auction ServicesKAR オークション サービス,自動車オークションサービス会社,NYSE
KBH,KB HomeKB ホーム,米大手の住宅建設会社,NYSE
KBR,KBRKBR,世界的なエンジニアリング会社,NYSE
KDP,Keurig Dr Pepperキューリグ ドクターペッパー,総合清涼飲料メーカー,NYSE
KELYA,Kelly Services Inc Aケリー サービシズ A,北米、欧州、環太平洋諸国にある事業所を通じ、さまざまな業種の顧客を対象に人材派遣サービスを手掛けている人材派遣会社。,NASDAQ
KEM,KEMET Corporationケメット,固形タンタルと積層セラミックキャパシターのメーカー。,NYSE
KEX,Kirby Corporationカービー,工業用化学品、石油精製品、ブラックオイル製品、農業用化学品の輸送を手掛ける内陸タンク船運営会社。,NYSE
KEY,KeyCorpキーコープ,金融サービス持株会社,NYSE
KEYS,Keysight Technologiesキーサイト テクノロジー,電子計測機器メーカー,NYSE
KFS,WabtecKingsway Financial Servicesキングズウェイファイナンシャルサービシズ,子会社を通じて主に金融資産や不動産を所有、管理する持株会社。,NYSE
KFY,Korn Ferryコーン フェリー,人材採用、リーダーシップ開発、組織戦略などを提供しているコンサルティング会社。,NYSE
KGC,Kinross Goldキンロス ゴールド,カナダの金鉱山会社,NYSE
KHC,Kraft Heinzクラフト ハインツ,世界的な食料品会社,NASDAQ
KIRK,Kirkland’s Incカークランズ,小売業者。住宅装飾品および贈答品を販売する小売業者。,NASDAQ
KLAC,KLAKLA,半導体検査装置メーカー,NASDAQ
KLIC,Kulicke And Soffa Industries Incキューリッキ&ソファ インダストリーズ,半導体デバイス組立用の大型器材、関連部品、梱包材料を製造。組立装置のサービス、点検、修理、改修も手掛けている企業。,NASDAQ
KMB,Kimberly-Clarkキンバリー クラーク,消費者用製品メーカー,NYSE
KMI,Kinder Morgan A&Pキンダー モーガン,パイプライン輸送・貯蔵に従事,NYSE
KMPR,Kemper Corpケンパー,金融サービス会社。損害保険、生命保険、医療保険など保険事業を展開。,NYSE
KMX,CarMaxカーマックス,自動車販売チェーン店,NYSE
KN,Knowles Corporationノールズ,世界各国で製品を販売している最先端音響部品の設計・製造会社。,NYSE
KNDI,Kandi Technologies Group Incカンディ テクノロジーズ グループ,小型車両メーカー。主要製品は、全地形対応車（ATV）、ゴルフカート、オートバイ、スクーター、ゴーカートなど。,NASDAQ
KNSA,Kiniksa Pharmaceuticals Aキニクサ ファーマシューティカルズ A,米国(バミューダ諸島)のバイオ医薬品会社。有効な治療法が確立されていない衰弱性疾患の治療薬の発見、開発および商品化を行う。,NASDAQ
KNX,Knight-Swift Transportationナイトスイフトトランスポーテーション,輸送・貨物サービスを提供,NYSE
KO,The Coca-Colaコカ コーラ,ソフトドリンク製造販売,NYSE
KODK,Eastman Kodakイーストマン コダック,画像製品メーカー,NYSE
KOPN,Kopinコーピン,半導体材料とスモールフォームファクター・ディスプレーの製造会社,NASDAQ
KOS,Kosmos Energyコスモス エナジー,石油・ガス会社,NYSE
KR,The Krogerクローガー,米国のスーパーマーケット・コンビニ会社,NYSE
KRO,Kronos Worldwide Incクロノス ワールドワイド,二酸化チタン顔料の製造会社。,NYSE
KRUS,Kura Sushi USA Inc Aくら 寿司 USA A,寿司チェーン店。,NASDAQ
KSS,Kohl'sコールズ,一般家庭向け商品を扱う百貨店チェーン,NYSE
KSU,Kansas City Southernカンザス シティー サザン,貨物列車などの鉄道システム運営に従事,NYSE
KTB,Kontoor Brands Incコントール ブランド,衣料品メーカー。,NYSE
KTCC,Key Tronic Corporationキー トロニック,契約ベースで設計および生産サービスに従事。パソコン、ターミナル、ワークステーション用のキーボードも製造。,NASDAQ
KTOS,Kratos Defense & Security Solutionsクラトス・ディフェンス＆セキュリティー・ソリューションズ,防衛関連のソリューションの請負およびセキュリティーシステムの構築に従事している軍事ソリューション会社。連邦政府、州自治体、地方自治体にサービスを提供しています。,NASDAQ
KWR,Quaker Chemical Corporationクエーカー ケミカル,カスタム仕様の化学品を製造・開発・販売している化学品メーカー｡,NYSE
L,Loewsロウズ,多角経営持株会社,NYSE
LAD,Lithia Motors Inc Aリシア モーターズ A,新車・中古車レンタル、融資、サービスを手掛ける自動車販売会社。,NYSE
LAKE,Lakeland Industries Incレイクランド インダストリーズ,使い捨てや再利用可能な防護作業服のメーカー。,NASDAQ
LANC,Lancaster Colony Corporationランカスター コロニー,特殊食品に重点を置く消費者製品を製造し、小売および食品サービス市場向けに販売している多角製品メーカー。,NASDAQ
LASR,nLightエンライト,半導体レーザーメーカー。ファイバレーザ、ダイレクトダイオードシステム、シングルエミッタ、ファイバ結合モジュールを製造している。,NASDAQ
LAUR,Laureate Education Inc Aローリエット エデュケーション A,教育サービス会社。経営学、医学・保健科学、工学、情報技術などで学士・博士号の学位を提供。,NASDAQ
LB,L Brandsエル ブランズ,米国全土でビクトリア・シークレット等の専門店を経営,NYSE
LBTYA,Liberty Global Aリバティ グローバル A,イギリスに本社を置くコンテンツ供給会社などを世界的に保有する通信持株会社,NASDAQ
LC,LendingClubレンディング クラブ,ソーシャルレンディングサービスを提供,NYSE
LDOS,Leidos Holdingsレイドス ホールディングス,防衛関連省庁への情報セキュリティ事業やヘルスケア事業に従事,NYSE
LE,Lands' Endランズ エンド,カジュアル衣料品メーカー,NASDAQ
LEA,Learリアー,自動車用部品メーカー,NYSE
LEAF,Leaf Groupリーフグループ,メディアコンテンツ制作,NYSE
LECO,Lincoln Electric Holdingsリンカーン エレクトリック ホールディングス,溶接・切断機器メーカー,NASDAQ
LEG,Leggett & Plattレゲット アンド プラット,住宅インテリア用品などの総合メーカー,NYSE
LEGH,Legacy Housing Corpレガシーハウジング,住宅製造・販売会社。,NASDAQ
LEN,Lennar Aレナー A,一戸建てを中心とした住宅建設会社,NYSE
LEVI,Levi Strauss & Co Aリーバイ ストラウス A,ジーンズやシャツなどの衣料関連製品を提供している衣料品メーカー。,NYSE
LFUS,Littelfuseリテルヒューズ,自動車、エレクトロニクス、その他産業全般で使用されるヒューズや回路保護機器を製造、販売。,NASDAQ
LFVN,Lifevantageライフバンテージ,栄養補助食品を開発している健康食品会社。,NASDAQ
LGND,Ligand Pharmaceuticals Incリガンド ファーマシューティカルズ,米国の製薬会社。血小板減少症薬、多発性骨髄腫治療薬、骨粗しょう症予防薬、統合失調症治療薬などを開発している,NASDAQ
LH,Laboratory Corporation of America Holdingsラボラトリー コーポレーション オブ アメリカ ホールディングス,臨床検査機関,NYSE
LHCG,LHC Group IncLHCグループ,米国南部農村地域のメディケア受給者向けに、ポストアキュート・ヘルスケアサービスを提供するヘルスケアサービス会社。,NASDAQ
LHX,L3Harris TechnologiesL3ハリス テクノロジーズ,通信機器メーカー,NYSE
LII,Lennox International Incレノックス インターナショナル,冷暖房、換気、冷凍設備の設計、製造、販売を手掛ける空調設備メーカー。,NYSE
LIN,Lindeリンデ,ガス供給子会社を傘下に持つアイルランドの持株会社,NYSE
LIND,Lindblad Expeditions Holdingsリンドブラッド エクスペディションズ HD,クルーズ会社。クルーズ船を保有、運営するほか、クルージング、冒険旅行も手掛ける。,NASDAQ
LITE,Lumentum Holdingsルメンタム ホールディングス,光通信・商業レーザ事業,NASDAQ
LKQ,LKQLKQ,廃車の回収・卸売りを行う,NASDAQ
LLNW,Limelight Networks Incライムライト ネットワーク,コンテンツ配信サービス会社。ビデオ、音楽、ゲーム、ダウンロードをインターネットで配信。,NASDAQ
LLY,Eli Lillyイーライ リリィ,米国医薬品大手,NYSE
LM,Legg Masonレッグ メイソン,世界的な資産管理会社,NYSE
LMAT,LeMaitre Vascularルメイトレ バスキュラー,米国の医療機器製造業者。主に末梢血管疾患の治療、手術分野向けに医療装置やインプラントの開発、製造、販売を行う。,NASDAQ
LMNX,Luminexルミネックス,生物学的検査技術を開発、製造、販売している会社,NASDAQ
LMT,Lockheed Martinロッキード マーチン,防衛用航空機メーカー,NYSE
LNC,Lincoln Nationalリンカーン ナショナル,資産運用会社,NYSE
LNG,Cheniere Energyシェニエール エナジー,メキシコで石油・天然ガスの開発・探査を展開,NYSE American
LNN,Lindsay Corporationリンゼー,米国でOEMメーカーの外注サービスも請負う農業用灌漑システムメーカー。,NYSE
LNT,Alliant Energyアライアント エナジー,米国中西部で公益サービスを提供,NASDAQ
LOGC,LogicBio Therapeutics Incロジックバイオ セラピューティクス,バイオテクノロジー企業として営業している。当社は、遺伝病および感染症の治療のための治療用遺伝子治療ベクターを開発している。,NASDAQ
LOGM,LogMeinログミーイン,企業のヘルプデスクやシステム管理者などに遠隔接続サービスを提供している会社。,NASDAQ
LOOP,Loop Industries Incループ インダストリーズ,カナダのリサイクルペットボトルメーカー。,NASDAQ
LOPE,Grand Canyon Education Incグランド キャニオン エデュケーション,大学および大学院課程コースを提供オンライン大学教育サービス会社。,NASDAQ
LOVE,Lovesac Coラブサック,家具・バッグ製造会社。,NASDAQ
LOW,Lowe'sロウズ,住宅関連用品小売り会社,NYSE
LPI,Laredo Petroleumラレド ペトロリアム,石油・天然ガス田の探鉱・開発・権益取得を手掛ける会社,NYSE
LPLA,LPL Financial HoldingsLPL フィナンシャル ホールディングス,証券仲介業及び投資顧問サービスを提供,NASDAQ
LPSN,LivePerson Incライブパーソン,インターネット通販テクノロジー会社。,NASDAQ
LPX,Louisiana Pacific Corporationルイジアナ パシフィック,建築資材・エンジニアードウッド製品メーカー。,NYSE
LQDT,Liquidity Servicesリクイディティ サービシズ,余剰資産と卸売商品の売却サービス会社,NASDAQ
LRCX,Lam Researchラム リサーチ,IC製造用の半導体処理装置メーカー,NASDAQ
LSCC,Lattice Semiconductorラティスセミコンダクター,高速プログラミング可能なロジック機器の設計、開発、販売,NASDAQ
LSTR,Landstar Systemランドスター システム,統合輸送管理ソリューションのアセットライト型プロバイダー,NASDAQ
LTHM,Livent Corpライベント コーポレーション,リチウム化学物質を生産し、販売している会社。,NYSE
LTRPA,Liberty TripAdvisor Holdings Inc Aリバティ トリップアドバイザー ホールディングス A,多角経営の持株会社。米国にて法人化。,NASDAQ
LULU,Lululemon Athleticaルルレモン アスレティカ,カナダのスポーツ衣料SPA,NASDAQ
LUNA,Luna Innovations Incルナイノベーション,光ファイバーの試験用製品や航空宇宙・自動車産業向けに光ファイバーセンサーも販売している光学製品メーカー。,NASDAQ
LUV,Southwest Airlinesサウスウエスト エアラインズ,米国の格安航空会社,NYSE
LVGO,Livongo Health Incリヴォンゴ ヘルス,慢性疾患の改善を目的としたサービス提供を行う米国の会社。,NASDAQ
LVS,Las Vegas Sandsラスベガス サンズ,カジノリゾート、コンベンションセンターの開発経営会社,NYSE
LW,Lamb Weston Holdings Incラム ウェストン ホールディングス,子会社を通じて、冷凍ポテト製品の製造・供給を手掛けている持株会社。,NYSE
LXRX,Lexicon Pharmaceuticalsレキシコン ファーマシュティカルズ,遺伝子ノックアウト技術等を用いた治療法の発見と開発に従事するバイオ医薬品会社,NASDAQ
LYFT,Lyft Inc Aリフト A,米国で事業を展開している配車サービス会社。,NASDAQ
LYV,Live Nation Entertainmentライブ ネーション エンターテインメント,イベント企画会社,NYSE
M,Macy'sメーシーズ,米国の大手百貨店,NYSE
MA,Mastercard Aマスターカード A,クレジットカード大手,NYSE
MACK,Merrimack Pharmaceuticalsメリマック ファーマシューティカルズ,バイオ 医薬品会社,NASDAQ
MAN,ManpowerGroupマンパワーグループ,世界で事業を展開している非政府系の就職支援会社。,NYSE
MANH,Manhattan Associatesマンハッタン アソシエイツ,サプライチェーン向けITソリューション提供企業,NASDAQ
MANU,Manchester United Aマンチェスター ユナイテッド A,イギリスでプロサッカークラブを運営,NYSE
MAR,Marriott International Aマリオット インターナショナル A,マリオット、リッツカールトンなどのブランドホテルを世界展開,NASDAQ
MARA,Marathon Patent Groupマラソン パテント グループ,知的財産権（IPP）の管理会社,NASDAQ
MAS,Mascoマスコ,住宅リフォーム・建築用品メーカー,NYSE
MASI,Masimoマシモ,米国の医療技術企業。,NASDAQ
MAT,Mattelマテル,玩具メーカー,NASDAQ
MATX,Matsonマットソン,北米市場で運輸および物流に従事する物流会社。,NYSE
MBI,MBIAMBIA,クレジットプロテクションを手掛ける金融保証会社,NYSE
MCD,McDonald'sマクドナルド,世界的ファーストフードチェーン,NYSE
