ティッカー,銘柄（英語）,事業内容,市場
AMAT,Applied Materialsアプライド マテリアルズ,半導体製造装置の最大手,NASDAQ
AMBA,Ambarellaアンバレラ,ハイビジョン映象の圧縮・処理用半導体メーカー,NASDAQ
AMBC,Ambac Financial Groupアンバック フィナンシャル グループ,民間・公共機関向けに金融保証やその他金融関連サービスを展開。,NASDAQ
AMC,AMC Entertainment Holdings AAMCエンターテインメント HD A,世界各地で映画館を運営し、演劇公開、映画上映、食品販売、オンラインチケット販売、その他関連サービスを提供する。,NYSE
AMCX,AMC Networks AAMC ネットワーク A,ケーブルチャンネルの制作・管理会社,NASDAQ
AMD,Advanced Micro Devicesアドバンスト マイクロ デバイシズ,半導体（マイクロプロセッサー）大手,NASDAQ
AME,AMETEKアメテック,電動モーター・電子機器メーカー,NYSE
AMED,Amedisys アメディシス,在宅看護、在宅輸液療法（HIT）、外来手術センターなどのサービスを提供する代替サイト・ヘルスケア・サービス会社｡,NASDAQ
AMG,Affiliated Managers Groupアフィリエーテッド マネジャーズ グループ,資産管理持株会社,NYSE
AMGN,Amgenアムジェン,大手バイオ医薬品会社,NASDAQ
AMK,Assetmark Financial Holdings Incアセットマーク ファイナンシャル ホールディングス,子会社を通じて、ファイナンシャルアドバイザーや金融ブローカー、投資家向けにオンライン資産管理ポータル・アプリの提供を行っている会社。,NYSE
AMKR,Amkor Technologyアムコー テクノロジー,半導体のパッケージングおよびテストサービスを提供,NASDAQ
AMN,Amn Healthcare ServicesAMNヘルスケア サービシズ,看護師や提携医療従事者を全米の病院・医療施設に短期派遣するヘルスケア関連の人材派遣会社。,NYSE
AMNB,American National Banksharesアメリカン ナショナル バンクシェアーズ,個人・企業に対し各商業銀行業務を提供している。,NASDAQ
AMOT,Allied Motion Technologiesアライド モーション テクノロジーズ,世界各地の顧客に精密および特殊動作制御部品およびシステムを提供する動作制御システムメーカー。,NASDAQ
AMP,Ameriprise Financialアメリプライズ ファイナンシャル,投資顧問会社。元アメリカンエキスプレスの投資顧問部門,NYSE
AMPE,Ampio Pharmaceuticalsアンピオファーマシューティカルズ,代謝障害、眼病、腎疾患、炎症、および中枢神経系疾患の治療に関するリサーチ を手掛ける医薬品の研究開発会社。,NYSE American
